'august 14 1733', '1733-08-14'
'monday 24 november 1625', '1625-11-24'
'january 24 1723', '1723-01-24'
'1551 18 nov', '1551-11-18'
'aug 10 1591', '1591-08-10'
'3 november 2064', '2064-11-03'
'1554 21 jun', '1554-06-21'
'december 29 1661', '1661-12-29'
'monday december 15 1919', '1919-12-15'
'may 8 1727', '1727-05-08'
'friday 8 february 2064', '2064-02-08'
'8/27/05', '1705-08-27'
'28/05/1572', '1572-05-28'
'wed 7 nov 1860', '1860-11-07'
'october 19 1761', '1761-10-19'
'march 30 1816', '1816-03-30'
'28 august 1795', '1795-08-28'
'12/21/93', '1793-12-21'
'march 29 1980', '1980-03-29'
'august 17 1706', '1706-08-17'
'december 11 1775', '1775-12-11'
'february 20 1899', '1899-02-20'
'9/12/35', '2035-09-12'
'aug 24 1893', '1893-08-24'
'31 july 1897', '1897-07-31'
'sunday april 28 1624', '1624-04-28'
'dec 30 1562', '1562-12-30'
'may 2 1580', '1580-05-02'
'jan 1 1665', '1665-01-01'
'22 september 1861', '1861-09-22'
'january 1 1872', '1872-01-01'
'1992 12 april', '1992-04-12'
'october 20 1885', '1885-10-20'
'may 20 1649', '1649-05-20'
'11 aug 1600', '1600-08-11'
'thursday september 22 1644', '1644-09-22'
'21 may 1572', '1572-05-21'
'sun 25 jun 1820', '1820-06-25'
'tue 18 may 2055', '2055-05-18'
'nov 18 2057', '2057-11-18'
'sunday november 17 1946', '1946-11-17'
'25 may 1658', '1658-05-25'
'1740 3 sep', '1740-09-03'
'nov 22 1986', '1986-11-22'
'mar 24 1950', '1950-03-24'
'1864 29 mar', '1864-03-29'
'saturday january 26 1658', '1658-01-26'
'7 march 1939', '1939-03-07'
'may 27 1793', '1793-05-27'
'tuesday december 9 1845', '1845-12-09'
'5 september 1806', '1806-09-05'
'apr 13 1648', '1648-04-13'
'april 8 1702', '1702-04-08'
'28/08/2011', '2011-08-28'
'12 july 1956', '1956-07-12'
'thursday november 24 1521', '1521-11-24'
'7 september 1880', '1880-09-07'
'11 august 1568', '1568-08-11'
'sat 24 oct 1925', '1925-10-24'
'sat 7 jul 1601', '1601-07-07'
'january 7 1952', '1952-01-07'
'april 8 2057', '2057-04-08'
'20 april 1825', '1825-04-20'
'sep 5 1674', '1674-09-05'
'wednesday 1875 14 07', '1875-07-14'
'saturday 1993 13 02', '1993-02-13'
'18 june 1764', '1764-06-18'
'6 september 1649', '1649-09-06'
'saturday 1704 4 10', '1704-10-04'
'sunday november 2 1975', '1975-11-02'
'december 21 1691', '1691-12-21'
'march 11 1887', '1887-03-11'
'1608 14 dec', '1608-12-14'
'sunday 17 march 1889', '1889-03-17'
'1811 14 jul', '1811-07-14'
'6 march 2060', '2060-03-06'
'october 27 1689', '1689-10-27'
'sunday 1723 20 06', '1723-06-20'
'jan 14 1655', '1655-01-14'
'11/11/1712', '1712-11-11'
'16 may 1729', '1729-05-16'
'december 7 1827', '1827-12-07'
'29/04/1553', '1553-04-29'
'jul 21 1566', '1566-07-21'
'7 september 1914', '1914-09-07'
'march 11 1696', '1696-03-11'
'october 18 1740', '1740-10-18'
'30 sep 1763', '1763-09-30'
'june 23 1554', '1554-06-23'
'mon 1839 8 july', '1839-07-08'
'15 january 1750', '1750-01-15'
'saturday april 24 1649', '1649-04-24'
'may 3 1860', '1860-05-03'
'sat 18 jun 1977', '1977-06-18'
'tuesday 1963 5 03', '1963-03-05'
'18 september 1588', '1588-09-18'
'9 september 1690', '1690-09-09'
'dec 24 1950', '1950-12-24'
'fri 30 jan 2060', '2060-01-30'
'1637 18 august', '1637-08-18'
'25 may 1579', '1579-05-25'
'19 may 1528', '1528-05-19'
'thursday 15 january 1733', '1733-01-15'
'11/20/54', '2054-11-20'
'8/16/84', '1684-08-16'
'friday march 18 1555', '1555-03-18'
'sep 22 1601', '1601-09-22'
'sun 13 sep 1925', '1925-09-13'
'dec 4 1732', '1732-12-04'
'17 may 1545', '1545-05-17'
'april 14 1888', '1888-04-14'
'17 july 1618', '1618-07-17'
'tue 1665 13 january', '1665-01-13'
'feb 18 1964', '1964-02-18'
'october 11 1699', '1699-10-11'
'21 june 2038', '2038-06-21'
'may 25 1847', '1847-05-25'
'5/8/30', '1730-05-08'
'december 6 1609', '1609-12-06'
'wednesday july 11 1708', '1708-07-11'
'jan 4 1866', '1866-01-04'
'july 18 1746', '1746-07-18'
'june 26 1777', '1777-06-26'
'1620 27 march', '1620-03-27'
'tue 1635 6 february', '1635-02-06'
'14 nov 1590', '1590-11-14'
'mar 28 1725', '1725-03-28'
'april 3 1697', '1697-04-03'
'february 7 1796', '1796-02-07'
'january 10 1657', '1657-01-10'
'may 19 1577', '1577-05-19'
'1873 7 feb', '1873-02-07'
'1999 25 mar', '1999-03-25'
'2033 4 july', '2033-07-04'
'january 3 1624', '1624-01-03'
'april 9 1688', '1688-04-09'
'30 september 1829', '1829-09-30'
'august 4 1691', '1691-08-04'
'monday december 2 1940', '1940-12-02'
'oct 29 1563', '1563-10-29'
'apr 22 1621', '1621-04-22'
'july 8 1603', '1603-07-08'
'january 2 1885', '1885-01-02'
'mar 15 2060', '2060-03-15'
'apr 2 1871', '1871-04-02'
'31 march 1786', '1786-03-31'
'october 23 1801', '1801-10-23'
'monday 9 january 1961', '1961-01-09'
'sunday april 3 1740', '1740-04-03'
'7 august 1628', '1628-08-07'
'19/07/2021', '2021-07-19'
'february 1 1974', '1974-02-01'
'thursday september 4 1569', '1569-09-04'
'8 august 1933', '1933-08-08'
'september 27 1959', '1959-09-27'
'september 27 1882', '1882-09-27'
'2015 3 january', '2016-01-03'
'december 19 1792', '1792-12-19'
'october 30 1969', '1969-10-30'
'1/13/17', '1917-01-13'
'sun 17 aug 1704', '1704-08-17'
'monday february 17 1896', '1896-02-17'
'feb 21 1528', '1528-02-21'
'20/10/1914', '1914-10-20'
'26/03/1696', '1696-03-26'
'sat 1888 28 july', '1888-07-28'
'21 may 1948', '1948-05-21'
'28 january 1586', '1586-01-28'
'23 june 1685', '1685-06-23'
'15 february 1791', '1791-02-15'
'23 july 1968', '1968-07-23'
'17 august 1538', '1538-08-17'
'mon 13 apr 1914', '1914-04-13'
'wednesday 11 september 1686', '1686-09-11'
'mar 2 1690', '1690-03-02'
'nov 9 1785', '1785-11-09'
'19/08/1578', '1578-08-19'
'march 3 1727', '1727-03-03'
'6/23/25', '1925-06-23'
'25/12/2068', '2068-12-25'
'mon 1612 1 october', '1612-10-01'
'sunday may 1 2016', '2016-05-01'
'fri 1689 18 march', '1689-03-18'
'24 june 2055', '2055-06-24'
'1638 1 nov', '1638-11-01'
'december 2 1731', '1731-12-02'
'tue 4 jan 1622', '1622-01-04'
'sunday july 28 1996', '1996-07-28'
'14 april 2027', '2027-04-14'
'sunday october 5 1687', '1687-10-05'
'oct 16 1707', '1707-10-16'
'jun 20 1702', '1702-06-20'
'jun 30 1542', '1542-06-30'
'monday may 2 1774', '1774-05-02'
'18 september 1793', '1793-09-18'
'thursday 22 october 1959', '1959-10-22'
'1756 14 december', '1756-12-14'
'21/07/2065', '2065-07-21'
'july 30 1978', '1978-07-30'
'wed 30 mar 1735', '1735-03-30'
'july 28 1940', '1940-07-28'
'24 january 2049', '2049-01-24'
'thu 22 sep 1949', '1949-09-22'
'wednesday october 30 1557', '1557-10-30'
'tue 1701 25 october', '1701-10-25'
'saturday 1621 15 05', '1621-05-15'
'jun 9 1710', '1710-06-09'
'wednesday august 4 1813', '1813-08-04'
'july 2 1571', '1571-07-02'
'february 25 1905', '1905-02-25'
'10 august 1986', '1986-08-10'
'1586 7 jun', '1586-06-07'
'july 4 2066', '2066-07-04'
'mon 12 may 2042', '2042-05-12'
'fri 1804 20 january', '1804-01-20'
'4 april 1881', '1881-04-04'
'friday january 4 1630', '1630-01-04'
'25 october 1846', '1846-10-25'
'29/04/1889', '1889-04-29'
'26 apr 1595', '1595-04-26'
'december 7 1782', '1782-12-07'
'monday july 17 1820', '1820-07-17'
'november 26 1797', '1797-11-26'
'monday october 11 1773', '1773-10-11'
'sat 12 dec 1626', '1626-12-12'
'2032 17 apr', '2032-04-17'
'2057 2 jul', '2057-07-02'
'09/08/1581', '1581-08-09'
'february 4 1716', '1716-02-04'
'jun 28 1787', '1787-06-28'
'tuesday 1554 3 08', '1554-08-03'
'nov 16 1850', '1850-11-16'
'jan 3 2047', '2047-01-03'
'26 august 1830', '1830-08-26'
'1 november 1988', '1988-11-01'
'jun 13 1761', '1761-06-13'
'6 september 1743', '1743-09-06'
'aug 16 1662', '1662-08-16'
'friday january 19 1624', '1624-01-19'
'november 25 1683', '1683-11-25'
'oct 19 1550', '1550-10-19'
'april 4 1678', '1678-04-04'
'saturday 25 august 1962', '1962-08-25'
'30 november 1820', '1820-11-30'
'1 may 1835', '1835-05-01'
'2/20/16', '1816-02-20'
'24 august 1566', '1566-08-24'
'january 22 1578', '1578-01-22'
'november 3 1720', '1720-11-03'
'7 april 2020', '2020-04-07'
'apr 30 1550', '1550-04-30'
'2015 13 august', '2015-08-13'
'13 december 1962', '1962-12-13'
'15 february 1698', '1698-02-15'
'6 january 1616', '1616-01-06'
'friday march 23 1753', '1753-03-23'
'20 november 1975', '1975-11-20'
'wed 1656 10 may', '1656-05-10'
'tue 2033 13 december', '2033-12-13'
'monday 1658 31 12', '1657-12-31'
'02/11/1821', '1821-11-02'
'thursday 1855 5 07', '1855-07-05'
'may 15 1979', '1979-05-15'
'08/11/2050', '2050-11-08'
'april 9 2057', '2057-04-09'
'wed 14 oct 1970', '1970-10-14'
'sunday january 8 1747', '1747-01-08'
'1954 9 jun', '1954-06-09'
'1 august 1696', '1696-08-01'
'march 30 1536', '1536-03-30'
'30 november 1939', '1939-11-30'
'25 december 1605', '1605-12-25'
'30/09/1920', '1920-09-30'
'1 december 2021', '2021-12-01'
'wednesday april 30 1851', '1851-04-30'
'1/27/70', '2070-01-27'
'march 25 1783', '1783-03-25'
'31/10/1813', '1813-10-31'
